,scientific_name,common_names,occurrence,nativeness,abundance,seasonality
85659,Pelecanus occidentalis,Brown Pelican,Present,Native,Occasional,Vagrant
85660,Plegadis chihi,White-Faced Ibis,Present,Native,Occasional,Migratory
85661,Colaptes auratus,Northern Flicker,Present,Native,Common,Breeder
85662,Melanerpes formicivorus,Acorn Woodpecker,Present,Native,Occasional,Migratory
85663,Melanerpes lewis,"Lewis' Woodpecker, Lewis's Woodpecker",Present,Native,Occasional,Migratory
85664,Picoides pubescens,Downy Woodpecker,Present,Native,Occasional,No Data
85665,Picoides scalaris,Ladder-Backed Woodpecker,Present,Native,Occasional,Vagrant
85666,Picoides villosus,Hairy Woodpecker,Present,Native,Occasional,No Data
85667,Sphyrapicus nuchalis,Red-Naped Sapsucker,Present,Native,Occasional,Resident
85668,Sphyrapicus ruber,Red-Breasted Sapsucker,Not Confirmed,Native,No Data,No Data
85669,Sphyrapicus thyroideus,Williamson's Sapsucker,Present,Native,Occasional,Resident
85670,Sphyrapicus varius,Yellow-Bellied Sapsucker,Not Confirmed,Native,No Data,No Data
85671,Aechmophorus occidentalis,Western Grebe,Present,Native,Occasional,Migratory
85672,Podiceps nigricollis,"Black-Necked Grebe, Eared Grebe",Present,Native,Occasional,Migratory
85673,Podilymbus podiceps,Pied-Billed Grebe,Present,Native,Rare,Migratory
85674,Tachybaptus dominicus,Least Grebe,Present,Native,Occasional,Vagrant
85675,Asio flammeus,Short-Eared Owl,Present,Native,Rare,Breeder
85676,Asio otus,Long-Eared Owl,Present,Native,Rare,Breeder
85677,Athene cunicularia,Burrowing Owl,Present,Native,Uncommon,Breeder
85678,Bubo virginianus,Great Horned Owl,Present,Native,Uncommon,Breeder
85679,Megascops kennicottii,Western Screech-Owl,Present,Native,Rare,Breeder
97207,Accipiter cooperii,Cooper's Hawk,Present,Native,Uncommon,Breeder
97208,Accipiter gentilis,Northern Goshawk,Present,Native,Rare,Breeder
97209,Accipiter striatus,Sharp-Shinned Hawk,Present,Native,Rare,Breeder
97210,Aquila chrysaetos,Golden Eagle,Present,Native,Rare,Breeder
97211,Buteo albonotatus,Zone-Tailed Hawk,Present,Native,Uncommon,Breeder
97212,Buteo jamaicensis,Red-Tailed Hawk,Present,Native,Common,Breeder
97213,Buteo nitidus,"Gray Hawk, Grey Hawk",Present,Native,Uncommon,Breeder
97214,Buteo regalis,Ferruginous Hawk,Not Confirmed,Native,No Data,No Data
97215,Buteo swainsoni,Swainson's Hawk,Present,Native,Uncommon,Migratory
97216,Buteogallus anthracinus,Common Black-Hawk,Present,Native,Rare,Migratory
97217,Circus cyaneus,Northern Harrier,Present,Native,Rare,Migratory
97218,Parabuteo unicinctus,Harris' Hawk,Present,Native,Uncommon,Breeder
97219,Cathartes aura,Turkey Vulture,Present,Native,Common,Breeder
97220,Coragyps atratus,Black Vulture,Present,Native,Uncommon,Migratory
97221,Pandion haliaetus,"Osprey, Western Osprey",Present,Native,Rare,Migratory
97222,Anas platyrhynchos,Mallard,Present,Native,Rare,Migratory
97223,Branta canadensis,Canada Goose,Not Confirmed,Native,No Data,No Data
97224,Lophodytes cucullatus,Hooded Merganser,Present,Native,Occasional,Vagrant
97225,Aeronautes saxatalis,White-Throated Swift,Present,Native,Uncommon,Breeder
97226,Chaetura vauxi,Vaux's Swift,Present,Native,Occasional,Migratory
97227,Archilochus alexandri,Black-Chinned Hummingbird,Present,Native,Common,Breeder
97228,Calypte anna,Anna's Hummingbird,Present,Native,Common,Breeder
97229,Calypte costae,Costa's Hummingbird,Present,Native,Uncommon,Breeder
97230,Cynanthus latirostris,Broad-Billed Hummingbird,Present,Native,Uncommon,Breeder
97231,Eugenes fulgens,Magnificent Hummingbird,Present,Native,Rare,Breeder
97232,Selasphorus platycercus,Broad-Tailed Hummingbird,Present,Native,Common,Breeder
97233,Selasphorus rufus,Rufous Hummingbird,Present,Native,Uncommon,Migratory
97234,Stellula calliope,Calliope Hummingbird,Present,Native,Rare,Migratory
97235,Trochilidae,Hummingbirds,No Data,No Data,No Data,No Data
97236,Caprimulgus vociferus,Whip-Poor-Will,Present,Native,Uncommon,Breeder
97237,Chordeiles acutipennis,Lesser Nighthawk,Present,Native,Common,Breeder
97238,Chordeiles minor,Common Nighthawk,Present,Native,Rare,Migratory
97239,Phalaenoptilus nuttallii,Common Poorwill,Present,Native,Common,Breeder
97240,Charadrius vociferus,Killdeer,Present,Native,Occasional,Migratory
97241,Actitis macularius,Spotted Sandpiper,Present,Native,Rare,Migratory
97242,Gallinago gallinago,Common Snipe,Not Confirmed,Native,No Data,No Data
97243,Limnodromus,Dowitchers,No Data,No Data,No Data,No Data
97244,Mycteria americana,Wood Stork,Not Confirmed,Unknown,No Data,No Data
97245,Columba livia,Rock Dove,Present,Not Native,Rare,Resident
97246,Columbina inca,Inca Dove,Present,Native,Uncommon,Breeder
97247,Columbina passerina,Commonground-Dove,Present,Native,Uncommon,Breeder
97248,Patagioenas fasciata,Band-Tailed Pigeon,Present,Native,Uncommon,Breeder
97249,Streptopelia decaocto,"Eurasian Collared Dove, Eurasian Collared-Dove",Present,Not Native,Uncommon,Breeder
97250,Zenaida asiatica,White-Winged Dove,Present,Native,Abundant,Breeder
97251,Zenaida macroura,Mourning Dove,Present,Native,Abundant,Breeder
97252,Megaceryle alcyon,Belted Kingfisher,Present,Native,Uncommon,Migratory
97253,Coccyzus americanus,Yellow-Billed Cuckoo,Present,Native,Rare,Breeder
97254,Geococcyx californianus,Greater Roadrunner,Present,Native,Uncommon,Breeder
97255,Caracara cheriway,"Crested Caracara, Northern Crested Caracara",Present,Native,Rare,Vagrant
97256,Falco columbarius,Merlin,Present,Native,Rare,Migratory
97257,Falco mexicanus,Prairie Falcon,Present,Native,Uncommon,Breeder
97258,Falco peregrinus,Peregrine Falcon,Present,Native,Uncommon,Breeder
97259,Falco sparverius,American Kestrel,Present,Native,Uncommon,Breeder
97260,Callipepla gambelii,Gambel's Quail,Present,Native,Abundant,Breeder
97261,Callipepla squamata,Scaled Quail,Present,Native,Occasional,Resident
97262,Cyrtonyx montezumae,Montezuma Quail,Present,Native,Rare,Breeder
97263,Meleagris gallopavo,Wild Turkey,Present,Native,Rare,Breeder
97264,Psaltriparus minimus,Bushtit,Present,Native,Common,Breeder
97265,Eremophila alpestris,Horned Lark,Present,Native,Rare,Migratory
97266,Bombycilla cedrorum,Cedar Waxwing,Present,Native,Uncommon,Migratory
97267,Cardinalis,Cardinals,No Data,No Data,No Data,No Data
97268,Cardinalis cardinalis,Northern Cardinal,Present,Native,Common,Breeder
97269,Cardinalis sinuatus,Pyrrhuloxia,Present,Native,Uncommon,Breeder
97270,Passerina amoena,Lazuli Bunting,Present,Native,Uncommon,Migratory
97271,Passerina caerulea,Blue Grosbeak,Present,Native,Uncommon,Breeder
97272,Passerina cyanea,Indigo Bunting,Present,Native,Rare,Migratory
97273,Passerina versicolor,Varied Bunting,Present,Native,Uncommon,Breeder
97274,Pheucticus ludovicianus,Rose-Breasted Grosbeak,Not Confirmed,Native,No Data,No Data
97275,Pheucticus melanocephalus,Black-Headed Grosbeak,Present,Native,Common,Breeder
97276,Piranga flava,Hepatic Tanager,Present,Native,Uncommon,Breeder
97277,Piranga ludoviciana,Western Tanager,Present,Native,Common,Breeder
97278,Piranga rubra,Summer Tanager,Present,Native,Uncommon,Breeder
97279,Certhia americana,Brown Creeper,Present,Native,Uncommon,Breeder
97280,Aphelocoma californica,"Western Scrub Jay, Western Scrub-Jay",Present,Native,Uncommon,Breeder
97281,Aphelocoma coerulescens,Scrub Jay,Not Present (False Report),Not Native,No Data,No Data
97282,Aphelocoma ultramarina,Gray-Breasted Jay,Present,Native,Common,Breeder
97283,Corvus corax,Common Raven,Present,Native,Common,Breeder
97284,Cyanocitta stelleri,Stellar's Jay,Present,Native,Uncommon,Breeder
97285,Gymnorhinus cyanocephalus,Pinyon Jay,Present,Native,Occasional,Vagrant
97286,Nucifraga columbiana,Clark's Nutcracker,Present,Native,Occasional,Migratory
97287,Aimophila carpalis,Rufous-Winged Sparrow,Present,Native,Common,Breeder
97288,Aimophila cassinii,Cassin's Sparrow,Present,Native,Occasional,Vagrant
97289,Aimophila ruficeps,Rufous-Crowned Sparrow,Present,Native,Common,Breeder
97290,Amphispiza belli,Sage Sparrow,Not Confirmed,Native,No Data,No Data
97291,Amphispiza bilineata,Black-Throated Sparrow,Present,Native,Common,Breeder
97292,Calamospiza melanocorys,Lark Bunting,Present,Native,Rare,Migratory
97293,Chondestes grammacus,Lark Sparrow,Present,Native,Uncommon,Resident
97294,Emberizidae,"American Sparrows, Buntings, Emberizid Finches, New World Sparrows, Towhees",No Data,No Data,No Data,No Data
97295,Junco hyemalis,Dark-Eyed Junco,Present,Native,Common,Resident
97296,Junco phaeonotus,Yellow-Eyed Junco,Present,Native,Common,Breeder
97297,Melospiza lincolnii,Lincoln's Sparrow,Present,Native,Uncommon,Resident
97298,Melospiza melodia,Song Sparrow,Present,Native,Uncommon,Migratory
97299,Passerculus sandwichensis,Savannah Sparrow,Not Confirmed,Native,No Data,No Data
97300,Passerella iliaca,Fox Sparrow,Present,Native,Occasional,Vagrant
97301,Pipilo aberti,Abert's Towhee,Present,Native,Common,Breeder
97302,Pipilo chlorurus,Green-Tailed Towhee,Present,Native,Uncommon,Resident
97303,Pipilo erythrophthalmus,Rufous-Sided Towhee,Not Confirmed,Native,No Data,No Data
97304,Pipilo fuscus,Canyon Towhee,Present,Native,Common,Breeder
97305,Pipilo maculatus,Spotted Towhee,Present,Native,Common,Breeder
97306,Pooecetes gramineus,Vesper Sparrow,Present,Native,Uncommon,Resident
97307,Spizella atrogularis,"Black-Chinned Sparrow, Black-Throated Sparrow",Present,Native,Uncommon,Breeder
97308,Spizella breweri,Brewer's Sparrow,Present,Native,Common,Resident
97309,Spizella passerina,Chipping Sparrow,Present,Native,Common,Resident
97310,Zonotrichia albicollis,White-Throated Sparrow,Not Confirmed,Native,No Data,No Data
97311,Zonotrichia atricapilla,Golden-Crowned Sparrow,Not Confirmed,Native,No Data,No Data
97312,Zonotrichia leucophrys,White-Crowned Sparrow,Present,Native,Common,Resident
97313,Carduelis lawrencei,Lawrence's Goldfinch,Present,Native,Rare,Migratory
97314,Carduelis pinus,Pine Siskin,Present,Native,Uncommon,Breeder
97315,Carduelis psaltria,Lesser Goldfinch,Present,Native,Common,Breeder
97316,Carduelis tristis,American Goldfinch,Not Confirmed,Native,No Data,No Data
97317,Carpodacus cassinii,Cassin's Finch,Present,Native,Rare,Resident
97318,Carpodacus mexicanus,House Finch,Present,Native,Common,Breeder
97319,Carpodacus purpureus,Purple Martin,Present,Native,Occasional,Vagrant
97320,Coccothraustes vespertinus,Evening Grosbeak,Present,Native,Rare,Resident
97321,Loxia curvirostra,Red Crossbill,Present,Native,Uncommon,Breeder
97322,Hirundo rustica,Barn Swallow,Present,Native,Uncommon,Migratory
97323,Petrochelidon pyrrhonota,"American Cliff Swallow, Cliff Swallow",Present,Native,Uncommon,Migratory
97324,Progne subis,Purple Martin,Present,Native,Common,Breeder
97325,Stelgidopteryx serripennis,Northern Rough-Winged Swallow,Present,Native,Uncommon,Resident
97326,Tachycineta bicolor,Tree Swallow,Present,Native,Rare,Migratory
97327,Tachycineta thalassina,Violet-Green Swallow,Present,Native,Uncommon,Breeder
97328,Agelaius phoeniceus,Red-Winged Blackbird,Present,Native,Uncommon,Migratory
97329,Euphagus cyanocephalus,Brewer's Blackbird,Present,Native,Uncommon,Migratory
97330,Icterus bullockii,Bullock's Oriole,Present,Native,Uncommon,Breeder
97331,Icterus cucullatus,Hooded Oriole,Present,Native,Uncommon,Breeder
97332,Icterus galbula,Northern Oriole,Not Confirmed,Native,No Data,No Data
97333,Icterus parisorum,Scott's Oriole,Present,Native,Common,Breeder
97334,Molothrus aeneus,Bronzed Cowbird,Present,Native,Uncommon,Breeder
97335,Molothrus ater,Brown-Headed Cowbird,Present,Native,Common,Breeder
97336,Quiscalus mexicanus,Great-Tailed Grackle,Present,Native,Common,Resident
97337,Sturnella magna,Eastern Meadowlark,Present,Native,Occasional,Migratory
97338,Sturnella neglecta,Western Meadowlark,Present,Native,Occasional,Migratory
97339,Xanthocephalus xanthocephalus,Yellow-Headed Blackbird,Present,Native,Uncommon,Migratory
97340,Lanius ludovicianus,Loggerhead Shrike,Present,Native,Uncommon,Breeder
97341,Mimus polyglottos,Northern Mockingbird,Present,Native,Common,Breeder
97342,Oreoscoptes montanus,Sage Thrasher,Present,Native,Occasional,Migratory
97343,Toxostoma bendirei,Bendire's Thrasher,Present,Native,Rare,Resident
97344,Toxostoma crissale,Crissal Thrasher,Present,Native,Uncommon,Breeder
97345,Toxostoma curvirostre,Curve-Billed Thrasher,Present,Native,Common,Breeder
97346,Baeolophus ridgwayi,Juniper Titmouse,Present,Native,Uncommon,Breeder
97347,Baeolophus wollweberi,Bridled Titmouse,Present,Native,Common,Breeder
97348,Poecile gambeli,Mountain Chickadee,Present,Native,Uncommon,Breeder
97349,Cardellina rubrifrons,Red-Faced Warbler,Present,Native,Common,Breeder
97350,Dendroica coronata,Yellow-Rumped Warbler,Present,Native,Common,Breeder
97351,Dendroica graciae,Grace's Warbler,Present,Native,Uncommon,Breeder
97352,Dendroica nigrescens,Black-Throated Gray Warbler,Present,Native,Uncommon,Breeder
97353,Dendroica occidentalis,Hermit Warbler,Present,Native,Uncommon,Migratory
97354,Dendroica petechia,Yellow Warbler,Present,Native,Uncommon,Breeder
97355,Dendroica townsendi,Townsend's Warbler,Present,Native,Uncommon,Migratory
97356,Geothlypis trichas,Common Yellowthroat,Present,Native,Uncommon,Migratory
97357,Icteria virens,Yellow-Breasted Chat,Present,Native,Rare,Breeder
97358,Myioborus pictus,Painted Redstart,Present,Native,Uncommon,Breeder
97359,Oporornis tolmiei,Macgillivray's Warbler,Present,Native,Uncommon,Migratory
97360,Parula americana,Northern Parula,Present,Native,Occasional,Vagrant
97361,Parulidae,"New World Warblers, Wood-Warblers",No Data,No Data,No Data,No Data
97362,Vermivora celata,Orange-Crowned Warbler,Present,Native,Uncommon,Breeder
97363,Vermivora luciae,Lucy's Warbler,Present,Native,Common,Breeder
97364,Vermivora ruficapilla,Nashville Warbler,Present,Native,Uncommon,Migratory
97365,Vermivora virginiae,Virginia's Warbler,Present,Native,Uncommon,Breeder
97366,Wilsonia pusilla,Wilson's Warbler,Present,Native,Uncommon,Migratory
97367,Passer domesticus,House Sparrow,Present,Not Native,Rare,Resident
97368,Peucedramus taeniatus,Olive Warbler,Present,Native,Uncommon,Breeder
97369,Polioptila caerulea,"Blue-Gray Gnatcatcher, Blue-Grey Gnatcatcher",Present,Native,Uncommon,Breeder
97370,Polioptila melanura,Black-Tailed Gnatcatcher,Present,Native,Common,Breeder
97371,Phainopepla nitens,Phainopepla,Present,Native,Common,Breeder
97372,Regulus calendula,Ruby-Crowned Kinglet,Present,Native,Common,Resident
97373,Regulus satrapa,Golden-Crowned Kinglet,Present,Native,Uncommon,Breeder
97374,Auriparus flaviceps,Verdin,Present,Native,Common,Breeder
97375,Sitta canadensis,Red-Breasted Nuthatch,Present,Native,Uncommon,Breeder
97376,Sitta carolinensis,White-Breasted Nuthatch,Present,Native,Common,Breeder
97377,Sitta pygmaea,Pygmy Nuthatch,Present,Native,Common,Breeder
97378,Sturnus vulgaris,European Starling,Present,Not Native,Uncommon,Breeder
97379,Campylorhynchus brunneicapillus,Cactus Wren,Present,Native,Common,Breeder
97380,Catherpes mexicanus,Canyon Wren,Present,Native,Common,Breeder
97381,Cistothorus palustris,Marsh Wren,Present,Native,Uncommon,Vagrant
97382,Salpinctes obsoletus,Rock Wren,Present,Native,Common,Breeder
97383,Thryomanes bewickii,Bewick's Wren,Present,Native,Common,Breeder
97384,Troglodytes aedon,House Wren,Present,Native,Uncommon,Breeder
97385,Catharus guttatus,Hermit Thrush,Present,Native,Common,Breeder
97386,Myadestes townsendi,Townsend's Solitaire,Present,Native,Rare,Breeder
97387,Sialia currucoides,Mountain Bluebird,Present,Native,Occasional,Migratory
97388,Sialia mexicana,Western Bluebird,Present,Native,Common,Breeder
97389,Sialia sialis,Eastern Bluebird,Not Present (Historical Report),Native,No Data,No Data
97390,Turdus migratorius,American Robin,Present,Native,Common,Breeder
97391,Camptostoma imberbe,Northern Beardless-Tyrannulet,Present,Native,Uncommon,Breeder
97392,Contopus cooperi,Olive-Sided Flycatcher,Present,Native,Rare,Migratory
97393,Contopus pertinax,Greater Pewee,Present,Native,Uncommon,Breeder
97394,Contopus sordidulus,Western Wood Pewee,Present,Native,Common,Breeder
97395,Empidonax,Empidonax Flycatchers,No Data,No Data,No Data,No Data
97396,Empidonax difficilis,Pacific-Slope Flycatcher,Present,Native,Uncommon,Migratory
97397,Empidonax fulvifrons,Buff-Breasted Flycatcher,Present,Native,Rare,Breeder
97398,Empidonax hammondii,Hammond's Flycatcher,Present,Native,Uncommon,Migratory
97399,Empidonax oberholseri,Dusky Flycatcher,Present,Native,Uncommon,Migratory
97400,Empidonax occidentalis,Cordilleran Flycatcher,Present,Native,Common,Breeder
97401,Empidonax traillii,Willow Flycatcher,Not Confirmed,Native,No Data,No Data
97402,Empidonax wrightii,Gray Flycatcher,Present,Native,Uncommon,Resident
97403,Myiarchus,Crested Flycatchers,No Data,No Data,No Data,No Data
97404,Myiarchus cinerascens,Ash-Throated Flycatcher,Present,Native,Common,Breeder
97405,Myiarchus tuberculifer,Dusky-Capped Flycatcher,Present,Native,Uncommon,Breeder
97406,Myiarchus tyrannulus,Brown-Crested Flycatcher,Present,Native,Common,Breeder
97407,Myiodynastes luteiventris,Sulphur-Bellied Flycatcher,Present,Native,Rare,Breeder
97408,Pyrocephalus rubinus,Vermilion Flycatcher,Present,Native,Common,Breeder
97409,Sayornis nigricans,Black Phoebe,Present,Native,Uncommon,Breeder
97410,Sayornis saya,Say's Phoebe,Present,Native,Common,Breeder
97411,Tyrannus verticalis,Western Kingbird,Present,Native,Uncommon,Breeder
97412,Tyrannus vociferans,Cassin's Kingbird,Present,Native,Uncommon,Breeder
97413,Vireo bellii,Bell's Vireo,Present,Native,Common,Breeder
97414,Vireo cassinii,Cassin's Vireo,Present,Native,Uncommon,Migratory
97415,Vireo flavoviridis,Yellow-Green Vireo,Present,Native,Uncommon,Vagrant
97416,Vireo gilvus,Warbling Vireo,Present,Native,Uncommon,Breeder
97417,Vireo huttoni,Hutton's Vireo,Present,Native,Uncommon,Breeder
97418,Vireo plumbeus,Plumbeous Vireo,Present,Native,Uncommon,Breeder
97419,Vireo solitarius,Solitary Vireo,Present,Native,Uncommon,No Data
97420,Vireo vicinior,Gray Vireo,Present,Native,Uncommon,Breeder
97421,Ardea herodias,Great Blue Heron,Present,Native,Rare,Migratory
97422,Nycticorax nycticorax,"Black-Crowned Night Heron, Black-Crowned Night-Heron",Present,Native,Uncommon,Vagrant
97423,Colaptes,Flickers,No Data,No Data,No Data,No Data
97424,Colaptes auratus,Northern Flicker,Present,Native,Common,Breeder
97425,Colaptes auratus cafer,None,No Data,No Data,No Data,No Data
97426,Colaptes chrysoides,Guilded Flicker,Present,Native,Common,Breeder
97427,Melanerpes formicivorus,Acorn Woodpecker,Present,Native,Common,Breeder
97428,Melanerpes lewis,Lewis' Woodpecker,Present,Native,Occasional,Vagrant
97429,Melanerpes uropygialis,Gila Woodpecker,Present,Native,Common,Breeder
97430,Picidae,"Woodpeckers, Wrynecks",No Data,No Data,No Data,No Data
97431,Picoides arizonae,Arizona Woodpecker,Present,Native,Uncommon,Breeder
97432,Picoides scalaris,Ladder-Backed Woodpecker,Present,Native,Common,Breeder
97433,Picoides stricklandi,Strickland's Woodpecker,Not Present (False Report),Unknown,No Data,No Data
97434,Picoides villosus,Hairy Woodpecker,Present,Native,Uncommon,Breeder
97435,Sphyrapicus nuchalis,Red-Naped Sapsucker,Present,Native,Uncommon,Resident
97436,Sphyrapicus thyroideus,Williamson's Sapsucker,Present,Native,Rare,Resident
97437,Sphyrapicus varius,Yellow-Bellied Sapsucker,Not Confirmed,Native,No Data,No Data
97438,Aegolius acadicus,Northern Saw-Whet Owl,Present,Native,Rare,Breeder
97439,Asio flammeus,Short-Eared Owl,Not Confirmed,Native,No Data,No Data
97440,Asio otus,Long-Eared Owl,Present,Native,Rare,Breeder
97441,Athene cunicularia,Burrowing Owl,Not Confirmed,Native,No Data,No Data
97442,Bubo virginianus,Great Horned Owl,Present,Native,Uncommon,Breeder
97443,Glaucidium brasilianum,"Ferruginous Pygmy Owl, Ferruginous Pygmy-Owl",Not Confirmed,Native,No Data,No Data
97444,Glaucidium gnoma,Northern Pygmy Owl,Present,Native,Uncommon,Breeder
97445,Megascops asio,"Eastern Screech Owl, Eastern Screech-Owl",Not Present (False Report),Not Native,No Data,No Data
97446,Megascops kennicottii,"Tecolote Occidental, Western Screech Owl, Western Screech-Owl",Present,Native,Uncommon,Breeder
97447,Megascops trichopsis,"Whiskered Screech Owl, Whiskered Screech-Owl",Present,Native,Uncommon,Breeder
97448,Micrathene whitneyi,Elf Owl,Present,Native,Common,Breeder
97449,Otus flammeolus,Flammulated Owl,Present,Native,Uncommon,Breeder
97450,Strix occidentalis,Spotted Owl,Present,Native,Uncommon,Breeder
97451,Tyto alba,Barn Owl,Present,Native,Rare,Resident
97452,Trogon elegans,Elegant Trogon,Present,Native,Rare,Breeder
14902,Accipiter cooperii,Cooper's Hawk,Present,Native,Occasional,Breeder
14903,Accipiter gentilis,Northern Goshawk,Present,Native,Occasional,Vagrant
14904,Accipiter striatus,Sharp-Shinned Hawk,Present,Native,Uncommon,Migratory
14905,Aquila chrysaetos,Golden Eagle,Present,Native,Rare,Breeder
14906,Buteo jamaicensis,Red-Tailed Hawk,Present,Native,Common,Breeder
14907,Buteo lagopus,Rough-Legged Hawk,Present,Native,Occasional,Vagrant
14908,Buteo swainsoni,Swainson's Hawk,Present,Native,Occasional,Vagrant
14909,Circus cyaneus,Northern Harrier,Present,Native,Rare,Migratory
14910,Elanus leucurus,White-Tailed Kite,Present,Native,Occasional,Vagrant
14911,Haliaeetus leucocephalus,Bald Eagle,Not Present (Historical Report),Native,No Data,No Data
14912,Pandion haliaetus,Osprey,Present,Native,Occasional,Migratory
14913,Aix sponsa,Wood Duck,Present,Native,Occasional,Vagrant
14914,Anas acuta,Northern Pintail,Present,Native,Occasional,Migratory
14915,Anas americana,American Wigeon,Present,Native,Common,Migratory
14916,Anas clypeata,Northern Shoveler,Present,Native,Occasional,Vagrant
14917,Anas crecca,Green-Winged Teal,Present,Native,Common,Migratory
14918,Anas cyanoptera,Cinnamon Teal,Present,Native,Uncommon,Migratory
14919,Anas discors,Blue-Winged Teal,Present,Native,Rare,Vagrant
14920,Anas penelope,Eurasian Wigeon,Present,Native,Occasional,Vagrant
14921,Anas platyrhynchos,Mallard,Present,Native,Rare,Breeder
14922,Anser albifrons,Greater White-Fronted Goose,Present,Native,Rare,Vagrant
14923,Aythya affinis,Lesser Scaup,Present,Native,Occasional,Vagrant
14924,Aythya americana,Redhead,Present,Native,Occasional,Vagrant
14925,Aythya collaris,Ring-Necked Duck,Present,Native,Occasional,Vagrant
14926,Aythya valisineria,Canvasback,Present,Native,Occasional,Vagrant
14927,Branta bernicla,Brant,Present,Native,Rare,Migratory
14928,Branta canadensis,Canada Goose,Present,Native,Rare,Migratory
14929,Bucephala albeola,Bufflehead,Present,Native,Occasional,Vagrant
14930,Bucephala clangula,Common Goldeneye,Present,Native,Occasional,Vagrant
14931,Chen caerulescens,Snow Goose,Present,Native,Rare,Migratory
14932,Chen rossii,Ross' Goose,Present,Native,Occasional,Vagrant
14933,Histrionicus histrionicus,Harlequin Duck,Present,Native,Occasional,Vagrant
14934,Lophodytes cucullatus,Hooded Merganser,Present,Native,Occasional,Vagrant
14935,Melanitta fusca,White-Winged Scoter,Present,Native,Common,Migratory
14936,Melanitta nigra,Black Scoter,Present,Native,Occasional,Vagrant
14937,Melanitta perspicillata,Surf Scoter,Present,Native,Abundant,Migratory
14938,Mergus serrator,Red-Breasted Merganser,Present,Native,Uncommon,Migratory
14939,Oxyura jamaicensis,Ruddy Duck,Present,Native,Rare,Migratory
14940,Aeronautes saxatalis,White-Throated Swift,Present,Native,Uncommon,Breeder
14941,Chaetura pelagica,Chimney Swift,Present,Native,Occasional,Vagrant
14942,Chaetura vauxi,Vaux's Swift,Present,Native,Uncommon,Vagrant
14943,Cypseloides niger,Black Swift,Present,Native,Occasional,Vagrant
14944,Archilochus alexandri,Black-Chinned Hummingbird,Present,Native,Occasional,Vagrant
14945,Calypte anna,Anna's Hummingbird,Present,Native,Uncommon,Breeder
14946,Calypte costae,Costa's Hummingbird,Present,Native,Rare,Breeder
14947,Selasphorus rufus,Rufous Hummingbird,Present,Native,Uncommon,Vagrant
14948,Selasphorus sasin,Allen's Hummingbird,Present,Native,Abundant,Breeder
14949,Stellula calliope,Calliope Hummingbird,Present,Native,Occasional,Vagrant
14950,Chordeiles acutipennis,Lesser Nighthawk,Present,Native,Uncommon,Vagrant
14951,Chordeiles minor,Common Nighthawk,Present,Native,Occasional,Vagrant
14952,Phalaenoptilus nuttallii,Common Poorwill,Present,Native,Uncommon,Vagrant
14953,Brachyramphus marmoratus,Marbled Murrelet,Present,Native,Occasional,Vagrant
14954,Cepphus columba,Pigeon Guillemot,Present,Native,Uncommon,Breeder
14955,Cerorhinca monocerata,Rhinoceros Auklet,Present,Native,Occasional,Breeder
14956,Fratercula cirrhata,Tufted Puffin,Present,Native,Occasional,Breeder
14957,Fratercula corniculata,Horned Puffin,Present,Native,Occasional,Vagrant
14958,Ptychoramphus aleuticus,Cassin's Auklet,Present,Native,Common,Breeder
14959,Synthliboramphus antiquus,Ancient Murrelet,Present,Native,Occasional,Vagrant
14960,Synthliboramphus craveri,Craveri's Murrelet,Present,Native,Occasional,Vagrant
14961,Synthliboramphus hypoleucus,Xantus' Murrelet,Present,Native,Common,Breeder
14962,Uria aalge,Common Murre,Present,Native,Uncommon,Migratory
14963,Charadrius alexandrinus,Snowy Plover,Present,Native,Rare,Breeder
14964,Charadrius montanus,Mountain Plover,Present,Native,Rare,Migratory
14965,Charadrius semipalmatus,Semipalmated Plover,Present,Native,Rare,Vagrant
14966,Charadrius vociferus,Killdeer,Present,Native,Rare,Vagrant
14967,Pluvialis dominica,Lesser Golden-Plover,Present,Native,Rare,Migratory
14968,Pluvialis squatarola,Black-Bellied Plover,Present,Native,Abundant,Migratory
14969,Haematopus bachmani,Black Oystercatcher,Present,Native,Rare,Breeder
14970,Haematopus palliatus,American Oystercatcher,Present,Native,Occasional,Breeder
14971,Larus argentatus,Herring Gull,Present,Native,Uncommon,Migratory
14972,Larus atricilla,Laughing Gull,Present,Native,Occasional,Vagrant
14973,Larus californicus,California Gull,Present,Native,Common,Migratory
14974,Larus canus,Mew Gull,Present,Native,Common,Migratory
14975,Larus delawarensis,Ring-Billed Gull,Present,Native,Occasional,Vagrant
14976,Larus glaucescens,Glaucous-Winged Gull,Present,Native,Common,Migratory
14977,Larus heermanni,Heermann's Gull,Present,Native,Abundant,Migratory
14978,Larus hyperboreus,Glaucous Gull,Present,Native,Occasional,Vagrant
14979,Larus occidentalis,Western Gull,Present,Native,Abundant,Breeder
14980,Larus philadelphia,Bonaparte's Gull,Present,Native,Uncommon,Migratory
14981,Larus pipixcan,Franklin's Gull,Present,Native,Occasional,Vagrant
14982,Larus thayeri,Thayer's Gull,Present,Native,Occasional,Vagrant
14983,Rissa tridactyla,Black-Legged Kittiwake,Present,Native,Uncommon,Migratory
14984,Sterna caspia,Caspian Tern,Present,Native,Occasional,Vagrant
14985,Sterna elegans,Elegant Tern,Present,Native,Occasional,Vagrant
14986,Sterna forsteri,Forster's Tern,Present,Native,Rare,Vagrant
