,scientific_name,common_names,occurrence,nativeness,abundance,seasonality
13483,Calidris minutilla,Least Sandpiper,Present,Native,Unknown,No Data
13484,Calidris pusilla,Semipalmated Sandpiper,Present,Native,Unknown,Vagrant
13485,Gallinago delicata,Wilson's Snipe,Present,Native,Unknown,Migratory
13486,Limnodromus scolopaceus,Long-Billed Dowitcher,Present,Native,Unknown,No Data
13487,Numenius americanus,Long-Billed Curlew,Present,Native,Unknown,No Data
13488,Phalaropus lobatus,Red-Necked Phalarope,Present,Native,Unknown,No Data
13489,Phalaropus tricolor,Wilson's Phalarope,Present,Native,Unknown,No Data
13490,Scolopax minor,American Woodcock,Present,Native,Unknown,No Data
13491,Tringa flavipes,Lesser Yellowlegs,Present,Native,Unknown,No Data
13492,Tringa melanoleuca,Greater Yellowlegs,Present,Native,Unknown,No Data
13493,Tringa semipalmata,Willet,Present,Native,Unknown,No Data
13494,Tringa solitaria,Solitary Sandpiper,Present,Native,Unknown,No Data
13495,Columba livia,Rock Pigeon,Present,Not Native,Unknown,No Data
13496,Columbina inca,Inca Dove,Present,Native,Unknown,No Data
13497,Columbina passerina,Common Ground-Dove,Present,Native,Unknown,No Data
13498,Columbina talpacoti,Ruddy Ground-Dove,Present,Native,Unknown,Vagrant
13499,Patagioenas fasciata,Band-Tailed Pigeon,Present,Native,Unknown,No Data
13500,Streptopelia decaocto,Eurasian Collared-Dove,Present,Not Native,Unknown,No Data
13501,Streptopelia risoria,Ringed Turtle-Dove,Not Confirmed,Not Native,No Data,No Data
13502,Zenaida asiatica,White-Winged Dove,Present,Native,Unknown,Breeder
13503,Zenaida macroura,Mourning Dove,Present,Native,Unknown,Breeder
13504,Ceryle alcyon,Belted Kingfisher,Present,Native,Unknown,No Data
13505,Coccyzus americanus,Yellow-Billed Cuckoo,Present,Native,Unknown,Breeder
13506,Coccyzus erythropthalmus,Black-Billed Cuckoo,Present,Native,Unknown,Vagrant
13507,Crotophaga sulcirostris,Groove-Billed Ani,Present,Native,Unknown,Vagrant
13508,Geococcyx californianus,Greater Roadrunner,Present,Native,Unknown,Breeder
13509,Falco columbarius,Merlin,Present,Native,Unknown,Vagrant
13510,Falco mexicanus,Prairie Falcon,Present,Native,Unknown,Breeder
13511,Falco peregrinus,Peregrine Falcon,Present,Native,Unknown,No Data
13512,Falco sparverius,American Kestrel,Present,Native,Unknown,Breeder
13513,Callipepla squamata,Scaled Quail,Present,Native,Unknown,Resident
13514,Colinus virginianus,Northern Bobwhite,Present,Native,Unknown,Resident
13515,Cyrtonyx montezumae,Montezuma Quail,Present,Native,Unknown,No Data
13516,Meleagris gallopavo,Wild Turkey,Present,Native,Unknown,Breeder
13517,Phasianus colchicus,Ring-Necked Pheasant,Present,Not Native,Unknown,No Data
13518,Tympanuchus pallidicinctus,Lesser Prairie-Chicken,Present,Native,Unknown,Vagrant
13519,Grus canadensis,Sandhill Crane,Present,Native,Unknown,No Data
13520,Fulica americana,American Coot,Present,Native,Unknown,No Data
13521,Gallinula chloropus,Common Moorhen,Present,Native,Unknown,No Data
13522,Porzana carolina,Sora,Present,Native,Unknown,No Data
13523,Rallus limicola,Virginia Rail,Present,Native,Unknown,No Data
13524,Psaltriparus minimus,Bushtit,Present,Native,Unknown,Breeder
13525,Eremophila alpestris,Horned Lark,Present,Native,Unknown,Resident
13526,Bombycilla cedrorum,Cedar Waxwing,Present,Native,Unknown,No Data
13527,Calcarius mccownii,Mccown's Longspur,Present,Native,Unknown,Vagrant
13528,Calcarius ornatus,Chestnut-Collared Longspur,Present,Native,Unknown,No Data
13529,Cardinalis cardinalis,Northern Cardinal,Present,Native,Unknown,Resident
13530,Cardinalis sinuatus,Pyrrhuloxia,Present,Native,Unknown,Resident
13531,Passerina amoena,Lazuli Bunting,Present,Native,Unknown,No Data
13532,Passerina caerulea,Blue Grosbeak,Present,Native,Unknown,Resident
13533,Passerina ciris,Painted Bunting,Present,Native,Unknown,Resident
13534,Passerina cyanea,Indigo Bunting,Present,Native,Unknown,Resident
13535,Passerina versicolor,Varied Bunting,Present,Native,Unknown,Breeder
13536,Pheucticus ludovicianus,Rose-Breasted Grosbeak,Present,Native,Unknown,No Data
13537,Pheucticus melanocephalus,Black-Headed Grosbeak,Present,Native,Unknown,Migratory
13538,Piranga flava,Hepatic Tanager,Present,Native,Unknown,Breeder
13539,Piranga ludoviciana,Western Tanager,Present,Native,Unknown,No Data
13540,Piranga olivacea,Scarlet Tanager,Present,Native,Unknown,Vagrant
13541,Piranga rubra,Summer Tanager,Present,Native,Unknown,No Data
13542,Spiza americana,Dickcissel,Present,Native,Unknown,No Data
13543,Certhia americana,Brown Creeper,Present,Native,Unknown,No Data
13544,Cinclus mexicanus,American Dipper,Present,Native,Unknown,No Data
13545,Aphelocoma californica,Western Scrub-Jay,Present,Native,Unknown,No Data
13546,Corvus brachyrhynchos,American Crow,Present,Native,Unknown,Vagrant
13547,Corvus corax,Common Raven,Present,Native,Unknown,No Data
13548,Corvus cryptoleucus,Chihuahuan Raven,Present,Native,Unknown,No Data
13549,Cyanocitta cristata,Blue Jay,Present,Native,Unknown,No Data
13550,Cyanocitta stelleri,Steller's Jay,Present,Native,Unknown,No Data
13551,Gymnorhinus cyanocephalus,Pinyon Jay,Present,Native,Unknown,No Data
13552,Nucifraga columbiana,Clark's Nutcracker,Present,Native,Unknown,Vagrant
13553,Pica hudsonia,Black-Billed Magpie,Present,Native,Unknown,Vagrant
13554,Aimophila cassinii,Cassin's Sparrow,Present,Native,Unknown,Resident
13555,Aimophila ruficeps,Rufous-Crowned Sparrow,Present,Native,Unknown,Resident
